[OP] Cast: in=[(256, 3, 227, 227)] -> out=(256, 3, 227, 227) | drv used/total=1.52 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.73 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 4096), (256, 4096)] -> out=(256, 4096) | drv used/total=6.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.75 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(256, 4096), (256, 4096)] -> out=(256, 4096) | drv used/total=6.75 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(4096, 4096)] -> out=(4096, 4096) | drv used/total=6.78 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] MatMul: in=[(256, 4096), (4096, 4096)] -> out=(256, 4096) | drv used/total=6.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 4096)] -> out=(1, 4096) | drv used/total=6.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 4096), ()] -> out=(256, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 4096)] -> out=(1, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 4096), ()] -> out=(1, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.80 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.81 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.81 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 4096), (256, 4096)] -> out=(256, 4096) | drv used/total=6.81 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.81 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.81 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.81 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.82 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(256, 4096), (256, 4096)] -> out=(256, 4096) | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(4096, 200)] -> out=(4096, 200) | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] MatMul: in=[(256, 4096), (4096, 200)] -> out=(256, 200) | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(200,)] -> out=(200,) | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 200), (200,)] -> out=(256, 200) | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Passthrough: in=[(256, 200)] -> out=(256, 200) | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 200)] -> out=(256, 200) | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Softmax: in=[(256, 200)] -> out=(256, 200) | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] CategoricalCrossEntropy: in=[(256, 200), (256, 200)] -> out=() | drv used/total=6.83 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(), ()] -> out=() | drv used/total=6.59 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Softmax: in=[(256, 200)] -> out=(256, 200) | drv used/total=6.59 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 3, 227, 227)] -> out=(256, 3, 227, 227) | drv used/total=2.28 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 3, 227, 227)] -> out=(256, 3, 55, 55, 11, 11) | drv used/total=2.29 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(96, 3, 11, 11)] -> out=(96, 3, 11, 11) | drv used/total=2.29 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 3, 55, 55, 11, 11), (96, 3, 11, 11)] -> out=(256, 55, 55, 96) | drv used/total=2.44 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 55, 55, 96)] -> out=(256, 96, 55, 55) | drv used/total=2.44 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 96, 55, 55)] -> out=(256, 96, 55, 55) | drv used/total=2.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 96, 55, 55)] -> out=(1, 96, 1, 1) | drv used/total=2.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=2.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 96, 55, 55), (1, 96, 1, 1)] -> out=(256, 96, 55, 55) | drv used/total=2.89 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 96, 55, 55)] -> out=(256, 96, 55, 55) | drv used/total=3.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=3.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 96, 55, 55), ()] -> out=(256, 96, 55, 55) | drv used/total=3.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 96, 55, 55)] -> out=(1, 96, 1, 1) | drv used/total=3.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 96, 55, 55), (1, 96, 1, 1)] -> out=(256, 96, 55, 55) | drv used/total=3.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=3.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 96, 1, 1), ()] -> out=(1, 96, 1, 1) | drv used/total=3.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 96, 55, 55), (1, 96, 1, 1)] -> out=(256, 96, 55, 55) | drv used/total=3.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 96, 1, 1), (256, 96, 55, 55)] -> out=(256, 96, 55, 55) | drv used/total=3.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 96, 55, 55), (1, 96, 1, 1)] -> out=(256, 96, 55, 55) | drv used/total=4.09 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 96, 55, 55)] -> out=(256, 96, 55, 55) | drv used/total=4.09 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 96, 55, 55)] -> out=(256, 96, 55, 55) | drv used/total=4.09 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 96, 55, 55)] -> out=(256, 96, 27, 27, 3, 3) | drv used/total=4.10 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Max: in=[(256, 96, 27, 27, 3, 3)] -> out=(256, 96, 27, 27) | drv used/total=4.14 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 96, 27, 27)] -> out=(256, 96, 31, 31) | drv used/total=4.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 96, 31, 31)] -> out=(256, 96, 27, 27, 5, 5) | drv used/total=4.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 96, 5, 5)] -> out=(256, 96, 5, 5) | drv used/total=4.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 96, 27, 27, 5, 5), (256, 96, 5, 5)] -> out=(256, 27, 27, 256) | drv used/total=4.29 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 27, 27, 256)] -> out=(256, 256, 27, 27) | drv used/total=4.29 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=4.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 256, 27, 27)] -> out=(1, 256, 1, 1) | drv used/total=4.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 256, 27, 27), (1, 256, 1, 1)] -> out=(256, 256, 27, 27) | drv used/total=4.58 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=4.78 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=4.78 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 256, 27, 27), ()] -> out=(256, 256, 27, 27) | drv used/total=4.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 256, 27, 27)] -> out=(1, 256, 1, 1) | drv used/total=4.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 256, 27, 27), (1, 256, 1, 1)] -> out=(256, 256, 27, 27) | drv used/total=5.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=5.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=5.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 256, 1, 1), ()] -> out=(1, 256, 1, 1) | drv used/total=5.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=5.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=5.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=5.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 256, 27, 27), (1, 256, 1, 1)] -> out=(256, 256, 27, 27) | drv used/total=5.17 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=5.17 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 256, 1, 1), (256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=5.27 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=5.27 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 256, 27, 27), (1, 256, 1, 1)] -> out=(256, 256, 27, 27) | drv used/total=5.36 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=5.36 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=5.36 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 256, 27, 27)] -> out=(256, 256, 13, 13, 3, 3) | drv used/total=5.37 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Max: in=[(256, 256, 13, 13, 3, 3)] -> out=(256, 256, 13, 13) | drv used/total=5.39 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 256, 13, 13)] -> out=(256, 256, 15, 15) | drv used/total=5.42 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 256, 15, 15)] -> out=(256, 256, 13, 13, 3, 3) | drv used/total=5.43 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(384, 256, 3, 3)] -> out=(384, 256, 3, 3) | drv used/total=5.43 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 256, 13, 13, 3, 3), (384, 256, 3, 3)] -> out=(256, 13, 13, 384) | drv used/total=5.46 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 13, 13, 384)] -> out=(256, 384, 13, 13) | drv used/total=5.47 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.53 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 384, 13, 13)] -> out=(1, 384, 1, 1) | drv used/total=5.53 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.53 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.57 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=5.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 384, 13, 13), ()] -> out=(256, 384, 13, 13) | drv used/total=5.70 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 384, 13, 13)] -> out=(1, 384, 1, 1) | drv used/total=5.70 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.71 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 384, 1, 1), ()] -> out=(1, 384, 1, 1) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.78 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.78 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 384, 1, 1), (256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.81 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.81 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.85 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.85 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 384, 13, 13)] -> out=(256, 384, 15, 15) | drv used/total=5.86 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 384, 15, 15)] -> out=(256, 384, 13, 13, 3, 3) | drv used/total=5.86 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(384, 384, 3, 3)] -> out=(384, 384, 3, 3) | drv used/total=5.87 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 384, 13, 13, 3, 3), (384, 384, 3, 3)] -> out=(256, 13, 13, 384) | drv used/total=5.90 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 13, 13, 384)] -> out=(256, 384, 13, 13) | drv used/total=5.90 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 384, 13, 13)] -> out=(1, 384, 1, 1) | drv used/total=5.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=6.01 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=6.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 384, 13, 13), ()] -> out=(256, 384, 13, 13) | drv used/total=6.14 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 384, 13, 13)] -> out=(1, 384, 1, 1) | drv used/total=6.14 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=6.14 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=6.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=6.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 384, 1, 1), ()] -> out=(1, 384, 1, 1) | drv used/total=6.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=6.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=6.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=6.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=6.22 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=6.22 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 384, 1, 1), (256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=6.25 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=6.25 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=6.28 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=6.28 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 384, 13, 13)] -> out=(256, 384, 15, 15) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 384, 15, 15)] -> out=(256, 384, 13, 13, 3, 3) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 3, 3)] -> out=(256, 384, 3, 3) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 384, 13, 13, 3, 3), (256, 384, 3, 3)] -> out=(256, 13, 13, 256) | drv used/total=6.33 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 13, 13, 256)] -> out=(256, 256, 13, 13) | drv used/total=6.33 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 256, 13, 13)] -> out=(256, 256, 13, 13) | drv used/total=6.37 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 256, 13, 13)] -> out=(1, 256, 1, 1) | drv used/total=6.37 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.38 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 256, 13, 13), (1, 256, 1, 1)] -> out=(256, 256, 13, 13) | drv used/total=6.40 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 256, 13, 13)] -> out=(256, 256, 13, 13) | drv used/total=6.45 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.45 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 256, 13, 13), ()] -> out=(256, 256, 13, 13) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 256, 13, 13)] -> out=(1, 256, 1, 1) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 256, 13, 13), (1, 256, 1, 1)] -> out=(256, 256, 13, 13) | drv used/total=6.52 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.52 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
